,Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
5399,Barney Cotton,CottBa20,http://www.pro-football-reference.com/players/C/CottBa20.htm,
5400,Jerry Eckwood,EckwJe00,http://www.pro-football-reference.com/players/E/EckwJe00.htm,http://www.sports-reference.com/cfb/players/jerry-eckwood-1.html
5401,Tony Nathan,NathTo00,http://www.pro-football-reference.com/players/N/NathTo00.htm,http://www.sports-reference.com/cfb/players/tony-nathan-1.html
5402,Jon Borchardt,BorcJo20,http://www.pro-football-reference.com/players/B/BorcJo20.htm,
5403,Mel Land,LandMe20,http://www.pro-football-reference.com/players/L/LandMe20.htm,
5404,Joe Bostic,BostJo20,http://www.pro-football-reference.com/players/B/BostJo20.htm,
5405,Ronnie Lee,LeexRo20,http://www.pro-football-reference.com/players/L/LeexRo20.htm,http://www.sports-reference.com/cfb/players/ronnie-lee-1.html
5406,Willie McClendon,McClWi00,http://www.pro-football-reference.com/players/M/McClWi00.htm,http://www.sports-reference.com/cfb/players/willie-mcclendon-1.html
5407,Bo Robinson,RobiBo00,http://www.pro-football-reference.com/players/R/RobiBo00.htm,http://www.sports-reference.com/cfb/players/bo-robinson-1.html
5408,Donald Dykes,DykeDo20,http://www.pro-football-reference.com/players/D/DykeDo20.htm,
5409,Kim Anderson,AndeKi20,http://www.pro-football-reference.com/players/A/AndeKi20.htm,
5410,Jim Ramey,RameJi20,http://www.pro-football-reference.com/players/R/RameJi20.htm,
5411,Charles Johnson,JohnCh21,http://www.pro-football-reference.com/players/J/JohnCh21.htm,
5412,Kenny King,KingKe00,http://www.pro-football-reference.com/players/K/KingKe00.htm,http://www.sports-reference.com/cfb/players/kenny-king-2.html
5413,Cliff Thrift,ThriCl20,http://www.pro-football-reference.com/players/T/ThriCl20.htm,
5414,Tony Franklin,frankton01,http://www.pro-football-reference.com/players/F/frankton01.htm,http://www.sports-reference.com/cfb/players/tony-franklin-2.html
5415,James Mayberry,MaybJa00,http://www.pro-football-reference.com/players/M/MaybJa00.htm,http://www.sports-reference.com/cfb/players/james-mayberry-1.html
5416,Doug Cosbie,CosbDo00,http://www.pro-football-reference.com/players/C/CosbDo00.htm,
5417,Bruce Radford,RadfBr20,http://www.pro-football-reference.com/players/R/RadfBr20.htm,
5418,Reggie Lewis,LewiRe21,http://www.pro-football-reference.com/players/L/LewiRe21.htm,
5419,William Andrews,AndrWi00,http://www.pro-football-reference.com/players/A/AndrWi00.htm,http://www.sports-reference.com/cfb/players/william-andrews-1.html
5420,Rick Berns,BernRi00,http://www.pro-football-reference.com/players/B/BernRi00.htm,http://www.sports-reference.com/cfb/players/rick-berns-1.html
5421,Mike Wellman,WellMi20,http://www.pro-football-reference.com/players/W/WellMi20.htm,
5422,Joe Montana,MontJo01,http://www.pro-football-reference.com/players/M/MontJo01.htm,http://www.sports-reference.com/cfb/players/joe-montana-1.html
5423,Player,,http://www.pro-football-reference.com,
5424,Ken Johnson,JohnKe22,http://www.pro-football-reference.com/players/J/JohnKe22.htm,
5425,Mike White,WhitMi20,http://www.pro-football-reference.com/players/W/WhitMi20.htm,
5426,Frank Manumaleuga,ManuFr20,http://www.pro-football-reference.com/players/M/ManuFr20.htm,http://www.sports-reference.com/cfb/players/frank-manumaleuna-1.html
5427,Russell Davis,DaviRu00,http://www.pro-football-reference.com/players/D/DaviRu00.htm,http://www.sports-reference.com/cfb/players/russell-davis-1.html
5428,Jeff Nixon,NixoJe20,http://www.pro-football-reference.com/players/N/NixoJe20.htm,http://www.sports-reference.com/cfb/players/jeff-nixon-3.html
5429,Ulysses Norris,NorrUl00,http://www.pro-football-reference.com/players/N/NorrUl00.htm,http://www.sports-reference.com/cfb/players/ulysses-norris-1.html
5430,Roy Green,GreeRo01,http://www.pro-football-reference.com/players/G/GreeRo01.htm,
5431,Phil Tabor,TaboPh20,http://www.pro-football-reference.com/players/T/TaboPh20.htm,
5432,Vaughn Lusby,LusbVa20,http://www.pro-football-reference.com/players/L/LusbVa20.htm,http://www.sports-reference.com/cfb/players/vaughn-lusby-1.html
5433,Jon Brooks,BrooJo20,http://www.pro-football-reference.com/players/B/BrooJo20.htm,
5434,Jim Kovach,KovaJi20,http://www.pro-football-reference.com/players/K/KovaJi20.htm,
5435,Ben Cowins,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/ben-cowins-1.html
5436,Matt Miller,MillMa21,http://www.pro-football-reference.com/players/M/MillMa21.htm,
5437,Eric Cunningham,CunnEr20,http://www.pro-football-reference.com/players/C/CunnEr20.htm,
5438,Steve Dils,DilsSt00,http://www.pro-football-reference.com/players/D/DilsSt00.htm,http://www.sports-reference.com/cfb/players/steve-dils-1.html
5439,Johnny Lynn,LynnJo20,http://www.pro-football-reference.com/players/L/LynnJo20.htm,
5440,Derwin Tucker,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/derwin-tucker-1.html
5441,Lynn Cain,CainLy00,http://www.pro-football-reference.com/players/C/CainLy00.htm,http://www.sports-reference.com/cfb/players/lynn-cain-1.html
5442,Charles Johnson,JohnCh20,http://www.pro-football-reference.com/players/J/JohnCh20.htm,
5443,Mark Bell,BellMa22,http://www.pro-football-reference.com/players/B/BellMa22.htm,http://www.sports-reference.com/cfb/players/mark-e-bell-1.html
5444,Don Warren,WarrDo00,http://www.pro-football-reference.com/players/W/WarrDo00.htm,http://www.sports-reference.com/cfb/players/don-warren-1.html
5445,John Floyd,FloyJo00,http://www.pro-football-reference.com/players/F/FloyJo00.htm,http://www.sports-reference.com/cfb/players/john-floyd-1.html
5446,Charles Jefferson,JeffCh20,http://www.pro-football-reference.com/players/J/JeffCh20.htm,
5447,Eddie Hare,HareEd20,http://www.pro-football-reference.com/players/H/HareEd20.htm,http://www.sports-reference.com/cfb/players/eddie-hare-1.html
5448,Steve Howell,HoweSt00,http://www.pro-football-reference.com/players/H/HoweSt00.htm,http://www.sports-reference.com/cfb/players/steve-howell-1.html
5449,Jerry Wilkinson,WilkJe20,http://www.pro-football-reference.com/players/W/WilkJe20.htm,
5450,Ralph DeLoach,DeLoRa20,http://www.pro-football-reference.com/players/D/DeLoRa20.htm,
5451,Calvin Sweeney,SweeCa00,http://www.pro-football-reference.com/players/S/SweeCa00.htm,http://www.sports-reference.com/cfb/players/calvin-sweeney-1.html
5452,Player,,http://www.pro-football-reference.com,
5453,Tom Seabron,SeabTo21,http://www.pro-football-reference.com/players/S/SeabTo21.htm,
5454,Earl Gant,GantEa00,http://www.pro-football-reference.com/players/G/GantEa00.htm,http://www.sports-reference.com/cfb/players/earl-gant-1.html
5455,Casey Merrill,MerrCa20,http://www.pro-football-reference.com/players/M/MerrCa20.htm,
5456,Rod Kush,KushRo20,http://www.pro-football-reference.com/players/K/KushRo20.htm,
5457,Larry Braziel,BrazLa20,http://www.pro-football-reference.com/players/B/BrazLa20.htm,
5458,Dan Manucci,ManuDa20,http://www.pro-football-reference.com/players/M/ManuDa20.htm,http://www.sports-reference.com/cfb/players/dan-manucci-1.html
5459,Cleveland Jackson,JackCl20,http://www.pro-football-reference.com/players/J/JackCl20.htm,http://www.sports-reference.com/cfb/players/cleveland-jackson-1.html
5460,Steve Henry,HenrSt20,http://www.pro-football-reference.com/players/H/HenrSt20.htm,
5461,Jerry Aldridge,AldrJe20,http://www.pro-football-reference.com/players/A/AldrJe20.htm,
5462,Harlan Huckleby,HuckHa00,http://www.pro-football-reference.com/players/H/HuckHa00.htm,http://www.sports-reference.com/cfb/players/harlan-huckleby-1.html
5463,Bob Hukill,,http://www.pro-football-reference.com,
5464,Victor Hicks,HickVi00,http://www.pro-football-reference.com/players/H/HickVi00.htm,http://www.sports-reference.com/cfb/players/victor-hicks-1.html
5465,Kelly Kirchbaum,KircKe20,http://www.pro-football-reference.com/players/K/KircKe20.htm,
5466,Rich Dimler,DimlRi20,http://www.pro-football-reference.com/players/D/DimlRi20.htm,
5467,Stan Blinka,BlinSt20,http://www.pro-football-reference.com/players/B/BlinSt20.htm,
5468,Scott Fitzkee,FitzSc00,http://www.pro-football-reference.com/players/F/FitzSc00.htm,http://www.sports-reference.com/cfb/players/scott-fitzkee-1.html
5469,Mike Zele,ZeleMi20,http://www.pro-football-reference.com/players/Z/ZeleMi20.htm,
5470,Curtis Anderson,AndeCu20,http://www.pro-football-reference.com/players/A/AndeCu20.htm,
5471,Jerry Meter,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jerry-meter-1.html
5472,Mark Bell,BellMa23,http://www.pro-football-reference.com/players/B/BellMa23.htm,http://www.sports-reference.com/cfb/players/mark-r-bell-1.html
5473,Walt Brown,,http://www.pro-football-reference.com,
5474,Rick Leach,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/rick-leach-1.html
